Food,Category,Recipe/Single_food_item,Fiber_(g),Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"AMBARELLA, TEMPERED, W/ COCONUT MILK",Dessert,R,1.4,92.0,32.480000000000004,3.44,3.44,161.4,1.4,21.5,17.9,1.7,0.0,48.0,8.7,0.86,0.1,0.03,0.02,0.7,0.01,0.0,2.2,12.7,26.0,0.1,0.6,0.0,0.31264238200000005,44.865778999999996,205.94493780000002,5.1120788600000004,8.084229294,7.8,85.2761122,35.5794444,95.05281140000001,1.5802242399999997
"AMBARELLA, W/ COCONUT MILK",Dessert,R,1.4,92.0,32.480000000000004,3.44,3.44,161.4,1.5,15.8,12.4,1.8,0.0,47.0,8.9,0.88,0.1,0.02,0.02,0.6,0.01,0.0,2.2,12.2,26.0,0.0,0.3,0.0,0.4041443920000001,54.7657642,197.33665200000002,14.6416724,11.943615558000001,0.0,78.154962,31.103123,79.74358600000001,1.2807014399999999
AMBUL KESEL,Breakfast,S,,50.0,11.0,0.5,0.1,45.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
AMBUN KESEL,Breakfast,S,,100.0,23.0,1.3,0.3,90.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"ANGUNA KOLA, TEMPERED MALLUM W/ SCRAPED COCONUT",Dessert,R,6.78387785,100.0,51.04,5.12,10.36,366.2,4.430605888,14.59377766,7.06265974,5.197753906,0.0,268.2716675,53.18556213,2.016974926,0.608502984,0.0063304,0.074859947,0.371589154,0.378298253,0.1,73.44284058,31.36408424,1500.634277,0.495563,2.6399999999999997,0.8800000000000001,0.600323021,58.74394226,276.7107849,36.58811188,38.96010208,187.6,64.62778399999999,80.5770454,209.227992,0.711685002
APPLE,Breakfast,S,,150.0,22.0,0.0,0.0,80.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"APPLE JUICE, UNSWEETENED (100% JUICE)",Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,0.4,0.0,10.3,0.0,0.0,7.0,7.0,0.07,0.0,0.17,0.02,0.3,0.06,0.0,11.0,33.0,0.0,0.0,0.0,0.0,0.241546598,36.061810200000004,267.19802,7.89089184,120.2280414376,0.0,23.7798942,18.9905586,82.211318,4.149104970000001
"APPLE,RAW",Breakfast,S,2.1,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,0.3,0.5,13.9,0.0,0.0,5.0,5.5,0.25,0.05,0.01,0.01,0.1,0.03,0.0,3.5,4.0,0.0,0.1,3.0,0.5,0.0197559702,2.527866824,32.727156799999996,8.781696373599999,0.067173976,0.0,6.02198348,18.30278518,16.80538586,3.1516153840000003
"ASH GOURD, BOILED, W/ COCONUT MILK",Dessert,R,2.1,92.0,32.480000000000004,3.44,3.44,161.4,1.6,12.2,4.8,1.8,0.0,15.0,14.3,0.58,0.14,0.01,0.01,0.1,0.06,0.0,8.6,4.3,5.0,0.0,0.5,0.1,0.20339659659999998,23.658127968000002,178.05043655999998,31.932681219399996,3.4057176123999993,0.0,23.974203,17.46103814,52.707133999999996,0.9983843711999999
"ASH PLANTAIN AND FISH, TEMPERED",Dessert,R,4.5972929,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,24.696022,9.1544189,13.718862,10.020246,54.79174,72.137169,85.481194,2.1098902,1.5815836,0.0265949,0.12392299,3.5873466,0.47368696,1.2416159,134.15128,5.4341474,20.877998,0.096767999,1.12,0.3,0.81862396,180.40048,621.25574,4262.1724,174.24712,0.0,500.136022,814.444898,318.801706,0.53767228
"ASH PLANTAIN, DEEP-FRIED",Dessert,R,5.3,92.0,32.480000000000004,3.44,3.44,161.4,1.7,5.1,25.9,22.7,0.0,20.0,52.4,0.5,0.34,0.01,0.07,0.5,0.11,0.0,27.9,24.0,1.0,0.1,1.1,0.3,0.6347361984,100.20409097000001,473.64516586,10.7881059088,5.193101131800001,0.0,54.074551,22.134185800000004,120.82897199999998,1.3901501902
"ASH PLANTAIN, TEMPERED",Dessert,R,4.816104889,92.0,41.32,2.2600000000000002,2.54,183.2,3.3197999,4.901051044,16.2754364,13.58302498,0.0,42.096241,29.40181923,0.752294004,0.277478009,0.020349201,0.038340099,2.367351532,0.094539247,0.172391688,8.780802727,5.28167057,12.34021854,0.066997997,0.6,0.1,0.558893979,31.51800156,336.5348816,13.95522308,1.770736933,0.0,33.9133824,16.721959599999998,110.04106000000002,1.266006947
"ASH PLANTAIN, TEMPERED & BOILED, W/ COCONUT MILK",Dessert,R,3.376360893,92.0,41.32000000000001,2.26,2.54,183.2,3.473891973,12.89064884,13.38365173,8.288015366,0.0,20.4666214,20.93277931,1.589293003,0.589896977,0.0238178,0.025328899,1.769150734,0.091608346,0.0,15.5822897,5.543022156,12.39232635,0.063441001,0.8600000000000001,0.1,0.376811981,26.17001534,229.2453918,8.872883797,1.176197052,0.0,52.2780582,26.94238784,109.1901492,1.282112956
"ASH PLANTAIN,BOILED, W/ COCONUT MILK",Dessert,R,2.6,92.0,32.480000000000004,3.44,3.44,161.4,1.6,10.5,13.7,10.7,0.0,16.0,27.0,0.58,0.19,0.01,0.03,0.2,0.04,0.0,12.9,8.6,17.0,0.1,0.5,0.1,0.3471975944,37.164724848000006,305.74404486,9.9358733314,6.9206814292,0.0,37.8482358,21.8667282,112.9464826,4.145530776399999
"ASIAN SEA BASS, FRESH, BOILED, W/ COCONUT MILK",Dessert,R,1.266714,92.0,41.32000000000001,2.26,2.54,183.2,9.2647305,9.5336399,4.0925612,0.50873798,9.6659098,23.184647,20.430052,1.1184649,0.551961,0.02528326,0.037636701,1.1676251,0.08001858,0.14506499,19.101187,2.9839594,15.012181,0.034991998,1.08,0.08,0.29043001,108.3999,245.67471,33.834454,18.934309,0.0,64.300577,37.575827200000006,181.997676,0.8819480906000001
ATHIRASA,Dessert,R,1.3,86.0,60.839999999999996,4.220000000000001,5.1,337.2,3.0,37.2,84.8,32.2,0.0,38.0,17.4,1.17,0.73,0.03,0.02,1.4,0.07,0.0,9.9,0.0,0.0,0.3,1.5,0.0,0.23997071720000002,44.43816414,126.01795806800001,58.500388622399996,8.1093721396,7.8,46.15394,41.937224,54.411784,10.237876681600001
"AVELEMEEN (MULLET), FRESH, BOILED, W/ COCONUT MILK",Dessert,R,1.266714,92.0,35.32000000000001,3.2600000000000002,1.54,159.2,11.387767,10.213167,4.0925612,0.50873798,14.012017,58.22419,21.395863,2.0041482,0.74942851,0.037163809,0.087837838,1.364337,3.3043611,0.764009,73.938698,2.9839594,15.012181,0.034991998,1.3599999999999999,0.18000000000000002,0.48827803,114.09693,211.03748,25.002974,14.997557,22.4,1079.8489665999998,1897.4416099999999,534.600446,0.5860997606
AVOCADO,Breakfast,S,,50.0,4.3,1.0,7.4,80.0,5.702760601,12.896095401,16.166682739200002,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"AVOCADO,FRESH,RAW",Breakfast,S,6.7,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,3.0,13.9,1.8,0.1,0.0,28.0,48.1,0.81,0.75,0.07,0.08,0.9,0.18,0.0,67.2,9.4,2.0,0.0,6.8,0.4,0.87804246,58.616211732,344.56768107999994,8.6648180966,4.6449047498,0.0,109.29353,122.86471184000001,277.17985020000003,1.8776321286000002
BANANA,Breakfast,S,,100.0,23.0,1.0,0.0,90.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BANANA FRITTERS,Snack,S,,110.0,66.0,9.98,23.36,680.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978120000001,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
BANANA FRITTERS,Breakfast,S,,86.0,48.839999999999996,6.34,6.459999999999999,270.0,8.404330721200001,18.1857109238,36.487534075999996,9.410000364199998,8.638186646,100.97659453,80.78467026199999,3.1211525876,1.1276974266,0.10493187100000001,0.1091084368,1.6414960831999998,0.1404878382,0.0241652856,29.687046852,1.1944522285999999,27.3566817232,5.2845603382,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BANANA FRITTERS,Snack,S,,110.0,66.0,9.98,23.36,538.0,6.034716872000001,6.438296967999999,54.00851822,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.0717774936,0.0333442064,1.833180046,0.12039978119999999,0.045736576,16.605471956,1.3489044572000002,52.015542604000004,0.1918632008,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
"BANANA, CAVENDISH, RIPE",Breakfast,S,1.9,86.0,46.4,3.8,5.0,229.0,1.2,0.3,23.6,5.3,0.0,5.0,35.0,0.28,0.14,0.01,0.03,0.5,0.44,0.0,16.8,4.8,0.0,0.1,0.5,0.7,0.5374879886,88.39411027999999,399.8768364,3.5149114224,10.234141596,0.0,54.8801056,20.7928492,148.977736,3.4261413944000005
"BANANA, KOLIKUTTU, RIPE",Breakfast,S,0,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,1.4,0.2,22.9,0.0,0.0,45.0,38.0,1.71,1.92,0.05,0.08,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.5769096962,70.399166492,554.41,6.36,4.5,7.8,98.4430582,169.5747284,266.530288,1.3461167558
"BANANA, POOVAN, RIPE",Breakfast,S,2.3,86.0,46.4,3.8,5.0,229.0,1.5,0.3,23.4,4.7,0.0,9.0,43.8,0.35,0.17,0.01,0.03,0.4,0.5,0.0,20.0,6.7,10.0,0.1,0.6,0.6,0.6109415974000001,81.45930604,345.22175928,7.121195472799999,8.5644566934,0.0,33.8042406,35.862032799999994,148.34924,3.5213615841999997
"BARRACUDA, FRESH, BOILED, W/ COCONUT MILK",Dessert,R,1.36043,92.0,41.32,2.2600000000000002,2.54,183.2,12.895235,10.67271,4.1620331,0.53485501,15.555,26.420759,25.090445,1.66274,0.60331804,0.039738201,0.042382851,1.4526744,0.081450872,2.2190101,12.604934,2.4795806,16.195127,0.062613003,1.06,0.1,0.27145201,141.00978,308.53311,21.213036,16.531515,3.2,436.0459274,477.6177527600001,213.6292218,0.48146901559999994
BATTER CAROL BISCUIT,Breakfast,S,,5.8,4.2,0.4,0.75,26.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BEE HONEY,Breakfast,S,0.2,86.0,60.839999999999996,4.220000000000001,5.1,333.4,0.3,0.0,82.4,23.18,0.0,6.0,2.0,0.42,0.22,0.0,0.038,0.121,0.024,0.0,4.279999999999999,0.5,0.0,0.0,0.2,0.0,0.10215020859999999,16.912391496,41.4467580786,19.6243985296,6.6943973024000005,7.8,272.62762,22.45236,4.62332,10.1229672472
"BEEF AND VEGETABLE, NFS, LIGHT TEMPERED, W/ COCONUT MILK",Dessert,R,3.252089739,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,9.991214752,8.102972031,4.65024519,0.942959428,17.86788368,100.5686722,31.0278244,2.09272337,1.447312832,0.061405003,0.081497557,2.909851789,0.134500593,0.50545275,27.8414135,6.001820564,28.49456596,0.24871324,1.0799999999999998,0.28,0.563917935,106.9444351,324.6075134,21.84728622,9.377565384,3.2,887.2112460000001,989.455712,565.290344,0.829020441
BEEF KOTTU,Dessert,R,1.618,86.0,27.6,4.5,9.059999999999999,420.2,7.3,17.2,16.6,14.8,37.7,42.0,30.1,1.73,0.86,0.05,0.06,0.8,0.1,0.26594999,13.7,4.1,200.0,0.4,1.0,0.1,0.42778738459999993,49.780318400000006,243.31138277999997,155.04053574200003,87.09153694019999,27.0,453.490226,835.010532,357.692024,3.6870040719999992
"BEEF OFFALS (BABATH), BOILED AND FRIED",Dessert,R,1.613178,92.0,34.32000000000001,3.46,8.540000000000001,323.6,17.065004,15.987584,2.5283999,2.288202,436.30002,17.282066,24.850218,1.8611712,2.3400898,0.11802447,0.19101337,4.4824772,0.16133304,1.1512536,202.75883,0.0,4.8573799,0.34359413,6.58,0.42000000000000004,3.1998961,212.26573,338.65515,79.290535,35.716286,20.8,2314.4402,1459.2605,530.5578,0.044688001
"BEEF OFFALS (BABATH), BOILED, W/ COCONUT MILK",Dessert,R,1.28,86.0,39.4,5.0,11.0,259.0,12.9,8.3,3.1,2.2,27.6,23.0,26.5,1.98,2.42,0.01,0.05,1.5,0.12,0.62800199,6.7,2.3,106.0,0.2,2.7,0.3,0.3405475962,33.096870328,195.02230086,13.32207146,82.815307172,7.8,47.4709192,47.1885634,103.35217800000001,4.272543211
"BEEF, BOILED, W/ COCONUT MILK",Dessert,R,0.85503,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,15.584135,17.04241,1.836033,0.526555,33.949501,77.729362,25.928045,2.14764,2.2158179,0.040581599,0.061977852,3.8505514,0.12171312,0.96037501,4.0950642,1.5204256,16.193647,0.32211298,2.2600000000000002,0.15999999999999998,0.61922199,152.3268,303.38312,35.191837,14.822715,20.8,2032.0618,2138.5637,388.09668,0.42007601
"BEEF, COOKED W/ WATER",Dessert,R,0.85503,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,13.070065,4.238555,1.836033,0.526555,28.313883,77.211441,22.848579,1.887601,1.8586689,0.037344601,0.053345852,3.2329319,0.10444912,0.80095273,3.949291,1.5204256,16.193647,0.27895299,2.1,0.13999999999999999,0.52211201,128.69669,263.78381,29.506586,12.437046,20.8,1691.066,1784.8152,334.4259,0.42007601
"BEEF, ROAST OR BAKED",Dessert,R,0,92.0,32.480000000000004,3.44,3.44,161.4,31.070551,9.9345751,0.0,68.989776,248.23102,0.0,69.648705,5.7607198,32.349377,3.2137351,4.4138851,0.036671251,0.101346,1.8388965,0.21336,8.34,2.4449723,0.0,59.722797,29.483685,0.0,0.5334,217.714,10.464,1.20015,0.0,27.217200000000002,7.741556,26.451600000000003,7.340000000000001
"BEEF, TEMPERED",Dessert,R,1.1,92.0,32.480000000000004,3.44,3.44,161.4,12.0,8.1,5.7,2.2,32.8,10.0,20.1,1.55,2.01,0.05,0.14,5.5,0.36,0.78795075,29.1,38.6,29.0,0.4,2.3,0.8,0.32757758800000003,44.5380004,238.02388200000001,16.995397000000004,90.82946759999999,0.0,55.1968442,25.7439172,97.9926466,6.509817018
"BEEF, TEMPERED, W/ COCONUT MILK",Dessert,R,1.237185001,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,15.22170353,12.46599865,3.434812069,0.501372039,31.4633522,88.5202179,26.23406219,2.034845114,2.222404003,0.055639599,0.076804101,3.838986635,0.134523466,0.890046,7.37520504,2.414354086,17.97132301,0.291274011,1.0,0.34,0.617576957,146.9918823,307.3298035,32.89681625,13.92710304,22.4,823.8484142,1111.9455855600002,297.3259838,0.486526012
BEER,Breakfast,S,0,92.0,32.480000000000004,3.44,3.44,161.4,0.0,0.46,3.55,0.0,0.0,4.0,6.0,0.02,0.01,0.0,0.03,0.51,0.05,0.0,6.0,0.0,0.0,0.025,0.0,0.0,0.0197559702,2.327866824,39.82433699999999,2.5653523128,0.067173976,0.0,9.156305280000002,18.302785179999997,16.805385859999998,0.6916153840000001
"BEET ROOT, BOILED, W/ COCONUT MILK",Dessert,R,2.7,92.0,32.480000000000004,3.44,3.44,161.4,2.5,15.8,8.1,2.7,0.0,24.0,27.8,1.14,0.27,0.01,0.01,0.2,0.03,0.0,57.5,2.7,26.0,0.1,0.5,0.0,0.318080356,64.87159564999999,245.70990862,478.61056634939996,50.2890928946,0.0,101.9452692,143.51716784,296.7875522,2.2416067884000004
"BEET ROOT, SALAD",Dessert,R,3.2,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,1.9,0.2,6.4,1.6,0.0,18.0,32.4,0.73,0.3,0.01,0.01,0.2,0.06,0.0,84.7,4.0,2.0,0.1,1.9,0.2,0.6998391923999999,76.30645738400001,282.25264725999995,26.2796817552,31.821806823600003,0.0,101.94526919999998,143.51716784,296.78755220000005,2.4728983924
"BEET ROOT, TEMPERED",Dessert,R,2,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,1.3,4.7,5.7,0.6,0.0,15.0,8.0,0.7,0.28,0.01,0.01,0.3,0.03,0.0,100.7,1.9,7.0,0.1,1.2,0.0,0.6106826126,63.935752734000005,256.31071,24.4547109372,112.3658798004,0.0,82.48062999999999,116.56612784,230.34575020000003,2.4728983924
"BEET ROOT, TEMPERED, W/ COCONUT MILK",Dessert,R,3.2,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,2.7,14.0,8.4,3.1,0.0,27.0,32.8,1.28,0.34,0.02,0.02,0.2,0.05,0.0,68.4,3.6,31.0,0.1,1.0,0.2,0.45628807279999994,60.36621845,273.68558462,436.49105954940006,27.754183894599997,0.0,101.9452692,143.51716784,296.7875522,2.1187703848
BEETROOT CURRY,Side Dish,S,,90.0,50.8,7.159999999999999,13.280000000000001,344.0,5.3843307212,6.5657109238,51.82753407599999,17.4100003642,8.638186646,58.97659453,19.904670262,2.4211525876,0.5736974266,0.084931871,0.0631084368,1.2614960832,0.1424878382,0.0470335736,24.387046852,1.0744522285999998,27.3566817232,0.12456033820000001,4.4799999999999995,0.02,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BEETROOT CURRY,Beverage,S,,72.0,40.6,4.6,8.7,246.0,8.404330721200001,18.185710923800002,36.487534075999996,9.410000364199998,8.638186646,100.97659453000001,80.78467026199999,3.1211525876,1.1276974266,0.10493187099999998,0.1091084368,1.6414960831999998,0.1404878382,0.0241652856,29.687046852,1.1944522286,27.3566817232,5.2845603381999995,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BEETROOT CURRY WITH COCONUT MILK,Breakfast,S,,100.0,11.0,2.0,4.7,89.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BETEL / ARECA NUT,Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIRYANI W/ CHICKEN,Dessert,R,1.6,86.0,39.4,5.0,11.0,259.0,4.8,4.4,18.2,16.7,13.7,43.0,15.9,1.29,0.27,0.02,0.02,0.6,0.05,0.14040039,6.3,3.1,69.0,0.1,1.6,0.1,0.3466998886,35.01347773,263.10154697999997,17.718621641,83.4012644398,7.8,41.669480199999995,40.3286742,79.8545654,1.9551980020000002
BIRYANI W/ VEGETABLES,Dessert,R,0.4,86.0,39.4,5.0,11.0,259.0,1.9,1.9,15.9,0.2,0.0,9.0,7.1,0.23,0.06,0.12,0.21,0.0,0.01,0.0,6.4,1.6,58.0,0.0,0.5,0.0,0.3406592888,41.383960532,215.88490865999998,9.57433272,2.268422838,7.8,45.137957799999995,42.105772,95.03696999999998,4.4364818016
