source,relation,target
u208,hasRisk,d1
u209,hasRisk,d1
u210,hasRisk,d1
u211,hasRisk,d1
u212,hasRisk,d1
u213,hasRisk,d1
u214,hasRisk,d1
u215,hasRisk,d1
u216,hasRisk,d1
u217,hasRisk,d1
u218,hasRisk,d1
u219,hasRisk,d1
u220,hasRisk,d1
u221,hasRisk,d1
u222,hasRisk,d1
u223,hasRisk,d1
u224,hasRisk,d1
u225,hasRisk,d1
u226,hasRisk,d1
u227,hasRisk,d1
u228,hasRisk,d1
u229,hasRisk,d1
u230,hasRisk,d1
u231,hasRisk,d1
u232,hasRisk,d1
u233,hasRisk,d1
u234,hasRisk,d1
u235,hasRisk,d1
u236,hasRisk,d1
u237,hasRisk,d1
u238,hasRisk,d1
u239,hasRisk,d1
u240,hasRisk,d1
u241,hasRisk,d1
u242,hasRisk,d1
u243,hasRisk,d1
u244,hasRisk,d1
u245,hasRisk,d1
u246,hasRisk,d1
u247,hasRisk,d1
u248,hasRisk,d1
u249,hasRisk,d1
u250,hasRisk,d1
u251,hasRisk,d1
u252,hasRisk,d1
u253,hasRisk,d1
u254,hasRisk,d1
u255,hasRisk,d1
u256,hasRisk,d1
u257,hasRisk,d1
u258,hasRisk,d1
u259,hasRisk,d1
u260,hasRisk,d1
u261,hasRisk,d1
u262,hasRisk,d1
u263,hasRisk,d1
u264,hasRisk,d1
u265,hasRisk,d1
u266,hasRisk,d1
u267,hasRisk,d1
u268,hasRisk,d1
u269,hasRisk,d1
u270,hasRisk,d1
u271,hasRisk,d1
u272,hasRisk,d1
u273,hasRisk,d1
u274,hasRisk,d1
u275,hasRisk,d1
u276,hasRisk,d1
u277,hasRisk,d1
u278,hasRisk,d1
u279,hasRisk,d1
u280,hasRisk,d1
u281,hasRisk,d1
u282,hasRisk,d1
u283,hasRisk,d1
u284,hasRisk,d1
u285,hasRisk,d1
u286,hasRisk,d1
u287,hasRisk,d1
u288,hasRisk,d1
u289,hasRisk,d1
u290,hasRisk,d1
u291,hasRisk,d1
u292,hasRisk,d1
u293,hasRisk,d1
u294,hasRisk,d1
u295,hasRisk,d1
u296,hasRisk,d1
u297,hasRisk,d1
u298,hasRisk,d1
u299,hasRisk,d1
u300,hasRisk,d1
u301,hasRisk,d1
u302,hasRisk,d1
u303,hasRisk,d1
u304,hasRisk,d1
u305,hasRisk,d1
u306,hasRisk,d1
u307,hasRisk,d1
u308,hasRisk,d1
u309,hasRisk,d1
u310,hasRisk,d1
u311,hasRisk,d1
u312,hasRisk,d1
u313,hasRisk,d1
u314,hasRisk,d1
u315,hasRisk,d1
u316,hasRisk,d1
u317,hasRisk,d1
u318,hasRisk,d1
u319,hasRisk,d1
u320,hasRisk,d1
u321,hasRisk,d1
u322,hasRisk,d1
u323,hasRisk,d1
u324,hasRisk,d1
u325,hasRisk,d1
u326,hasRisk,d1
u327,hasRisk,d1
u328,hasRisk,d1
u329,hasRisk,d1
u330,hasRisk,d1
u331,hasRisk,d1
u332,hasRisk,d1
u333,hasRisk,d1
u334,hasRisk,d1
u335,hasRisk,d1
u336,hasRisk,d1
u337,hasRisk,d1
u338,hasRisk,d1
u339,hasRisk,d1
u340,hasRisk,d1
u341,hasRisk,d1
u342,hasRisk,d1
u343,hasRisk,d1
u344,hasRisk,d1
u345,hasRisk,d1
u346,hasRisk,d1
u347,hasRisk,d1
u348,hasRisk,d1
u349,hasRisk,d1
u350,hasRisk,d1
u351,hasRisk,d1
u352,hasRisk,d1
u353,hasRisk,d1
u354,hasRisk,d1
u355,hasRisk,d1
u356,hasRisk,d1
u357,hasRisk,d1
u358,hasRisk,d1
u359,hasRisk,d1
u360,hasRisk,d1
u361,hasRisk,d1
u362,hasRisk,d1
u363,hasRisk,d1
u364,hasRisk,d1
u365,hasRisk,d1
u366,hasRisk,d1
u367,hasRisk,d1
u368,hasRisk,d1
u369,hasRisk,d1
u370,hasRisk,d1
u371,hasRisk,d1
u372,hasRisk,d1
u373,hasRisk,d1
u374,hasRisk,d1
u375,hasRisk,d1
u376,hasRisk,d1
u377,hasRisk,d1
u378,hasRisk,d1
u379,hasRisk,d1
u380,hasRisk,d1
u381,hasRisk,d1
u382,hasRisk,d1
u383,hasRisk,d1
u384,hasRisk,d1
u385,hasRisk,d1
u386,hasRisk,d1
u387,hasRisk,d1
u388,hasRisk,d1
u389,hasRisk,d1
u390,hasRisk,d1
u391,hasRisk,d1
u392,hasRisk,d1
u393,hasRisk,d1
u394,hasRisk,d1
u395,hasRisk,d1
u396,hasRisk,d1
u397,hasRisk,d1
u398,hasRisk,d1
u399,hasRisk,d1
u400,hasRisk,d1
u401,hasRisk,d1
u402,hasRisk,d1
u403,hasRisk,d1
u404,hasRisk,d1
u405,hasRisk,d1
u406,hasRisk,d1
u407,hasRisk,d1
u408,hasRisk,d1
u409,hasRisk,d1
u410,hasRisk,d1
u411,hasRisk,d1
u412,hasRisk,d1
u413,hasRisk,d1
u414,hasRisk,d1
u415,hasRisk,d1
u416,hasRisk,d1
u417,hasRisk,d1
u418,hasRisk,d1
u419,hasRisk,d1
u420,hasRisk,d1
u421,hasRisk,d1
u422,hasRisk,d1
u423,hasRisk,d1
u424,hasRisk,d1
u425,hasRisk,d1
u426,hasRisk,d1
u427,hasRisk,d1
u428,hasRisk,d1
u429,hasRisk,d1
u430,hasRisk,d1
u431,hasRisk,d1
u432,hasRisk,d1
u433,hasRisk,d1
u434,hasRisk,d1
u435,hasRisk,d1
u436,hasRisk,d1
u437,hasRisk,d1
u438,hasRisk,d1
u439,hasRisk,d1
u440,hasRisk,d1
u441,hasRisk,d1
u442,hasRisk,d1
u443,hasRisk,d1
u444,hasRisk,d1
u445,hasRisk,d1
u446,hasRisk,d1
u447,hasRisk,d1
u448,hasRisk,d1
u449,hasRisk,d1
u450,hasRisk,d1
u451,hasRisk,d1
u452,hasRisk,d1
u453,hasRisk,d1
u454,hasRisk,d1
u455,hasRisk,d1
u456,hasRisk,d1
u457,hasRisk,d1
u458,hasRisk,d1
u459,hasRisk,d1
u460,hasRisk,d1
u461,hasRisk,d1
u462,hasRisk,d1
u463,hasRisk,d1
u464,hasRisk,d1
u465,hasRisk,d1
u466,hasRisk,d1
u467,hasRisk,d1
u468,hasRisk,d1
u469,hasRisk,d1
u470,hasRisk,d1
u471,hasRisk,d1
u472,hasRisk,d1
u473,hasRisk,d1
u474,hasRisk,d1
u475,hasRisk,d1
u476,hasRisk,d1
u477,hasRisk,d1
u478,hasRisk,d1
u479,hasRisk,d1
u480,hasRisk,d1
u481,hasRisk,d1
u482,hasRisk,d1
u483,hasRisk,d1
u484,hasRisk,d1
u485,hasRisk,d1
u486,hasRisk,d1
u487,hasRisk,d1
u488,hasRisk,d1
u489,hasRisk,d1
u490,hasRisk,d1
u491,hasRisk,d1
u492,hasRisk,d1
u493,hasRisk,d1
u494,hasRisk,d1
u495,hasRisk,d1
u496,hasRisk,d1
u497,hasRisk,d1
u498,hasRisk,d1
u499,hasRisk,d1
u500,hasRisk,d1
u501,hasRisk,d1
u502,hasRisk,d1
u503,hasRisk,d1
u504,hasRisk,d1
u505,hasRisk,d1
u506,hasRisk,d1
u507,hasRisk,d1
u508,hasRisk,d1
u509,hasRisk,d1
u510,hasRisk,d1
u511,hasRisk,d1
u512,hasRisk,d1
u513,hasRisk,d1
u514,hasRisk,d1
u515,hasRisk,d1
u516,hasRisk,d1
u517,hasRisk,d1
u518,hasRisk,d1
u519,hasRisk,d1
u520,hasRisk,d1
u521,hasRisk,d1
u522,hasRisk,d1
u523,hasRisk,d1
u524,hasRisk,d1
u525,hasRisk,d1
u526,hasRisk,d1
u527,hasRisk,d1
u528,hasRisk,d1
u529,hasRisk,d1
u530,hasRisk,d1
u531,hasRisk,d1
u532,hasRisk,d1
u533,hasRisk,d1
u534,hasRisk,d1
u535,hasRisk,d1
u536,hasRisk,d1
u537,hasRisk,d1
u538,hasRisk,d1
u539,hasRisk,d1
u540,hasRisk,d1
u541,hasRisk,d1
u542,hasRisk,d1
u543,hasRisk,d1
u544,hasRisk,d1
u545,hasRisk,d1
u546,hasRisk,d1
u547,hasRisk,d1
u548,hasRisk,d1
u549,hasRisk,d1
u550,hasRisk,d1
u551,hasRisk,d1
u552,hasRisk,d1
u553,hasRisk,d1
u554,hasRisk,d1
u555,hasRisk,d1
u556,hasRisk,d1
u557,hasRisk,d1
u558,hasRisk,d1
u559,hasRisk,d1
u560,hasRisk,d1
u561,hasRisk,d1
u562,hasRisk,d1
u563,hasRisk,d1
u564,hasRisk,d1
u565,hasRisk,d1
u566,hasRisk,d1
u567,hasRisk,d1
u568,hasRisk,d1
u569,hasRisk,d1
u570,hasRisk,d1
u571,hasRisk,d1
u572,hasRisk,d1
u573,hasRisk,d1
u574,hasRisk,d1
u575,hasRisk,d1
u576,hasRisk,d1
u577,hasRisk,d1
u578,hasRisk,d1
u579,hasRisk,d1
u580,hasRisk,d1
u581,hasRisk,d1
u582,hasRisk,d1
u583,hasRisk,d1
u584,hasRisk,d1
u585,hasRisk,d1
u586,hasRisk,d1
u587,hasRisk,d1
u588,hasRisk,d1
u589,hasRisk,d1
u590,hasRisk,d1
u591,hasRisk,d1
u592,hasRisk,d1
u593,hasRisk,d1
u594,hasRisk,d1
u595,hasRisk,d1
u596,hasRisk,d1
u597,hasRisk,d1
u598,hasRisk,d1
u599,hasRisk,d1
u600,hasRisk,d1
u601,hasRisk,d1
u602,hasRisk,d1
u603,hasRisk,d1
u604,hasRisk,d1
u605,hasRisk,d1
u606,hasRisk,d1
u607,hasRisk,d1
u608,hasRisk,d1
u609,hasRisk,d1
u610,hasRisk,d1
u611,hasRisk,d1
u612,hasRisk,d1
u613,hasRisk,d1
u614,hasRisk,d1
u615,hasRisk,d1
u616,hasRisk,d1
u617,hasRisk,d1
u618,hasRisk,d1
u619,hasRisk,d1
u620,hasRisk,d1
u621,hasRisk,d1
u622,hasRisk,d1
u623,hasRisk,d1
u624,hasRisk,d1
u625,hasRisk,d1
u626,hasRisk,d1
u627,hasRisk,d1
u628,hasRisk,d1
u629,hasRisk,d1
u630,hasRisk,d1
u631,hasRisk,d1
u632,hasRisk,d1
u633,hasRisk,d1
u634,hasRisk,d1
u635,hasRisk,d1
u636,hasRisk,d1
u637,hasRisk,d1
u638,hasRisk,d1
u639,hasRisk,d1
u640,hasRisk,d1
u641,hasRisk,d1
u642,hasRisk,d1
u643,hasRisk,d1
u644,hasRisk,d1
u645,hasRisk,d1
u646,hasRisk,d1
u647,hasRisk,d1
u648,hasRisk,d1
u649,hasRisk,d1
u650,hasRisk,d1
u651,hasRisk,d1
u652,hasRisk,d1
u653,hasRisk,d1
u654,hasRisk,d1
u655,hasRisk,d1
u656,hasRisk,d1
u657,hasRisk,d1
u658,hasRisk,d1
u659,hasRisk,d1
u660,hasRisk,d1
u661,hasRisk,d1
u662,hasRisk,d1
u663,hasRisk,d1
u664,hasRisk,d1
u665,hasRisk,d1
u666,hasRisk,d1
u667,hasRisk,d1
u668,hasRisk,d1
u669,hasRisk,d1
u670,hasRisk,d1
u671,hasRisk,d1
u672,hasRisk,d1
u673,hasRisk,d1
u674,hasRisk,d1
u675,hasRisk,d1
u676,hasRisk,d1
u677,hasRisk,d1
u678,hasRisk,d1
u679,hasRisk,d1
u680,hasRisk,d1
u681,hasRisk,d1
u682,hasRisk,d1
u683,hasRisk,d1
u684,hasRisk,d1
u685,hasRisk,d1
u686,hasRisk,d1
u687,hasRisk,d1
u688,hasRisk,d1
u689,hasRisk,d1
u690,hasRisk,d1
u691,hasRisk,d1
u692,hasRisk,d1
u693,hasRisk,d1
u694,hasRisk,d1
u695,hasRisk,d1
u696,hasRisk,d1
u697,hasRisk,d1
u698,hasRisk,d1
u699,hasRisk,d1
u700,hasRisk,d1
u701,hasRisk,d1
u702,hasRisk,d1
u703,hasRisk,d1
u704,hasRisk,d1
u705,hasRisk,d1
u706,hasRisk,d1
u707,hasRisk,d1
u708,hasRisk,d1
u709,hasRisk,d1
u710,hasRisk,d1
u711,hasRisk,d1
u712,hasRisk,d1
u713,hasRisk,d1
u714,hasRisk,d1
u715,hasRisk,d1
u716,hasRisk,d1
u717,hasRisk,d1
u718,hasRisk,d1
u719,hasRisk,d1
u720,hasRisk,d1
u721,hasRisk,d1
u722,hasRisk,d1
u723,hasRisk,d1
u724,hasRisk,d1
u725,hasRisk,d1
u726,hasRisk,d1
u727,hasRisk,d1
u728,hasRisk,d1
u729,hasRisk,d1
u730,hasRisk,d1
u731,hasRisk,d1
u732,hasRisk,d1
u733,hasRisk,d1
u734,hasRisk,d1
u735,hasRisk,d1
u736,hasRisk,d1
u737,hasRisk,d1
u738,hasRisk,d1
u739,hasRisk,d1
u740,hasRisk,d1
u741,hasRisk,d1
u742,hasRisk,d1
u743,hasRisk,d1
u744,hasRisk,d1
u745,hasRisk,d1
u746,hasRisk,d1
u747,hasRisk,d1
u748,hasRisk,d1
u749,hasRisk,d1
u750,hasRisk,d1
u751,hasRisk,d1
u752,hasRisk,d1
u753,hasRisk,d1
u754,hasRisk,d1
u755,hasRisk,d1
u756,hasRisk,d1
u757,hasRisk,d1
u758,hasRisk,d1
u759,hasRisk,d1
u760,hasRisk,d1
u761,hasRisk,d1
u762,hasRisk,d1
u763,hasRisk,d1
u764,hasRisk,d1
u765,hasRisk,d1
u766,hasRisk,d1
u767,hasRisk,d1
u768,hasRisk,d1
u769,hasRisk,d1
u770,hasRisk,d1
u771,hasRisk,d1
u772,hasRisk,d1
u773,hasRisk,d1
u774,hasRisk,d1
u775,hasRisk,d1
u776,hasRisk,d1
u777,hasRisk,d1
u778,hasRisk,d1
u779,hasRisk,d1
u780,hasRisk,d1
u781,hasRisk,d1
u782,hasRisk,d1
u783,hasRisk,d1
u784,hasRisk,d1
u785,hasRisk,d1
u786,hasRisk,d1
u787,hasRisk,d1
u788,hasRisk,d1
u789,hasRisk,d1
u790,hasRisk,d1
u791,hasRisk,d1
u792,hasRisk,d1
u793,hasRisk,d1
u794,hasRisk,d1
u795,hasRisk,d1
u796,hasRisk,d1
u797,hasRisk,d1
u798,hasRisk,d1
u799,hasRisk,d1
u800,hasRisk,d1
u801,hasRisk,d1
u802,hasRisk,d1
u803,hasRisk,d1
u804,hasRisk,d1
u805,hasRisk,d1
u806,hasRisk,d1
u807,hasRisk,d1
u808,hasRisk,d1
u809,hasRisk,d1
u810,hasRisk,d1
u811,hasRisk,d1
u812,hasRisk,d1
u813,hasRisk,d1
u814,hasRisk,d1
u815,hasRisk,d1
u816,hasRisk,d1
u817,hasRisk,d1
u818,hasRisk,d1
u819,hasRisk,d1
u820,hasRisk,d1
u821,hasRisk,d1
u822,hasRisk,d1
u823,hasRisk,d1
u824,hasRisk,d1
u825,hasRisk,d1
u826,hasRisk,d1
u827,hasRisk,d1
u828,hasRisk,d1
u829,hasRisk,d1
u830,hasRisk,d1
u831,hasRisk,d1
u832,hasRisk,d1
u833,hasRisk,d1
u834,hasRisk,d1
u835,hasRisk,d1
u836,hasRisk,d1
u837,hasRisk,d1
u838,hasRisk,d1
u839,hasRisk,d1
u840,hasRisk,d1
u841,hasRisk,d1
u842,hasRisk,d1
u843,hasRisk,d1
u844,hasRisk,d1
u845,hasRisk,d1
u846,hasRisk,d1
u847,hasRisk,d1
u848,hasRisk,d1
u849,hasRisk,d1
u850,hasRisk,d1
u851,hasRisk,d1
u852,hasRisk,d1
u853,hasRisk,d1
u854,hasRisk,d1
u855,hasRisk,d1
u856,hasRisk,d1
u857,hasRisk,d1
u858,hasRisk,d1
u859,hasRisk,d1
u860,hasRisk,d1
u861,hasRisk,d1
u862,hasRisk,d1
u863,hasRisk,d1
u864,hasRisk,d1
u865,hasRisk,d1
u866,hasRisk,d1
u867,hasRisk,d1
u868,hasRisk,d1
u869,hasRisk,d1
u870,hasRisk,d1
u871,hasRisk,d1
u872,hasRisk,d1
u873,hasRisk,d1
u874,hasRisk,d1
u875,hasRisk,d1
u876,hasRisk,d1
u877,hasRisk,d1
u878,hasRisk,d1
u879,hasRisk,d1
u880,hasRisk,d1
u881,hasRisk,d1
u882,hasRisk,d1
u883,hasRisk,d1
u884,hasRisk,d1
u885,hasRisk,d1
u886,hasRisk,d1
u887,hasRisk,d1
u888,hasRisk,d1
u889,hasRisk,d1
u890,hasRisk,d1
u891,hasRisk,d1
u892,hasRisk,d1
u893,hasRisk,d1
u894,hasRisk,d1
u895,hasRisk,d1
u896,hasRisk,d1
u897,hasRisk,d1
u898,hasRisk,d1
u899,hasRisk,d1
u900,hasRisk,d1
u901,hasRisk,d1
u902,hasRisk,d1
u903,hasRisk,d1
u904,hasRisk,d1
u905,hasRisk,d1
u906,hasRisk,d1
u907,hasRisk,d1
u908,hasRisk,d1
u909,hasRisk,d1
u910,hasRisk,d1
u911,hasRisk,d1
u912,hasRisk,d1
u913,hasRisk,d1
u914,hasRisk,d1
u915,hasRisk,d1
u916,hasRisk,d1
u917,hasRisk,d1
u918,hasRisk,d1
u919,hasRisk,d1
u920,hasRisk,d1
u921,hasRisk,d1
u922,hasRisk,d1
u923,hasRisk,d1
u924,hasRisk,d1
u925,hasRisk,d1
u926,hasRisk,d1
u927,hasRisk,d1
u928,hasRisk,d1
u929,hasRisk,d1
u930,hasRisk,d1
u931,hasRisk,d1
u932,hasRisk,d1
u933,hasRisk,d1
u934,hasRisk,d1
u935,hasRisk,d1
u936,hasRisk,d1
u937,hasRisk,d1
u938,hasRisk,d1
u939,hasRisk,d1
u940,hasRisk,d1
u941,hasRisk,d1
u942,hasRisk,d1
u943,hasRisk,d1
u944,hasRisk,d1
u945,hasRisk,d1
u946,hasRisk,d1
u947,hasRisk,d1
u948,hasRisk,d1
u949,hasRisk,d1
u950,hasRisk,d1
u951,hasRisk,d1
u952,hasRisk,d1
u953,hasRisk,d1
u954,hasRisk,d1
u955,hasRisk,d1
u956,hasRisk,d1
u957,hasRisk,d1
u958,hasRisk,d1
u959,hasRisk,d1
u960,hasRisk,d1
u961,hasRisk,d1
u962,hasRisk,d1
u963,hasRisk,d1
u964,hasRisk,d1
u965,hasRisk,d1
u966,hasRisk,d1
u967,hasRisk,d1
u968,hasRisk,d1
u969,hasRisk,d1
u970,hasRisk,d1
u971,hasRisk,d1
u972,hasRisk,d1
u973,hasRisk,d1
u974,hasRisk,d1
u975,hasRisk,d1
u976,hasRisk,d1
u977,hasRisk,d1
u978,hasRisk,d1
u979,hasRisk,d1
u980,hasRisk,d1
u981,hasRisk,d1
u982,hasRisk,d1
u983,hasRisk,d1
u984,hasRisk,d1
u985,hasRisk,d1
u986,hasRisk,d1
u987,hasRisk,d1
u988,hasRisk,d1
u989,hasRisk,d1
u990,hasRisk,d1
u991,hasRisk,d1
u992,hasRisk,d1
u993,hasRisk,d1
u994,hasRisk,d1
u995,hasRisk,d1
u996,hasRisk,d1
u997,hasRisk,d1
u998,hasRisk,d1
u999,hasRisk,d1
u1000,hasRisk,d1
u1001,hasRisk,d1
u1002,hasRisk,d1
u1003,hasRisk,d1
u1004,hasRisk,d1
u1005,hasRisk,d1
u1006,hasRisk,d1
u1007,hasRisk,d1
u1008,hasRisk,d1
u1009,hasRisk,d1
u1010,hasRisk,d1
u1011,hasRisk,d1
u1012,hasRisk,d1
u1013,hasRisk,d1
u1014,hasRisk,d1
u1015,hasRisk,d1
u1016,hasRisk,d1
u1017,hasRisk,d1
u1018,hasRisk,d1
u1019,hasRisk,d1
u1020,hasRisk,d1
u1021,hasRisk,d1
u1022,hasRisk,d1
u1023,hasRisk,d1
u1024,hasRisk,d1
u1025,hasRisk,d1
u1026,hasRisk,d1
u1027,hasRisk,d1
u1028,hasRisk,d1
u1029,hasRisk,d1
u1030,hasRisk,d1
u1031,hasRisk,d1
u1032,hasRisk,d1
u1033,hasRisk,d1
u1034,hasRisk,d1
u1035,hasRisk,d1
u1036,hasRisk,d1
u1037,hasRisk,d1
u1038,hasRisk,d1
u1039,hasRisk,d1
u1040,hasRisk,d1
u1041,hasRisk,d1
u1042,hasRisk,d1
u1043,hasRisk,d1
u1044,hasRisk,d1
u1045,hasRisk,d1
u1046,hasRisk,d1
u1047,hasRisk,d1
u1048,hasRisk,d1
u1049,hasRisk,d1
u1050,hasRisk,d1
u1051,hasRisk,d1
u1052,hasRisk,d1
u1053,hasRisk,d1
u1054,hasRisk,d1
u1055,hasRisk,d1
u1056,hasRisk,d1
u1057,hasRisk,d1
u1058,hasRisk,d1
u1059,hasRisk,d1
u1060,hasRisk,d1
u1061,hasRisk,d1
u1062,hasRisk,d1
u1,prefers,Sri Lankan
u2,prefers,Western
u3,prefers,Mixed
u4,prefers,Western
u5,prefers,Sri Lankan
u6,prefers,Western
u7,prefers,Sri Lankan
u8,prefers,Sri Lankan
u9,prefers,Sri Lankan
u10,prefers,Sri Lankan
u11,prefers,Mixed
u12,prefers,Mixed
u13,prefers,Western
u14,prefers,Sri Lankan
u15,prefers,Sri Lankan
u16,prefers,Western
u17,prefers,Mixed
u18,prefers,Western
u19,prefers,Mixed
u20,prefers,Mixed
u21,prefers,Western
u22,prefers,Mixed
u23,prefers,Sri Lankan
u24,prefers,Mixed
u25,prefers,Sri Lankan
u26,prefers,Mixed
u27,prefers,Mixed
u28,prefers,Western
u29,prefers,Sri Lankan
u30,prefers,Western
u31,prefers,Western
u32,prefers,Mixed
u33,prefers,Sri Lankan
u34,prefers,Western
u35,prefers,Sri Lankan
u36,prefers,Mixed
u37,prefers,Sri Lankan
u38,prefers,Western
u39,prefers,Sri Lankan
u40,prefers,Sri Lankan
u41,prefers,Mixed
u42,prefers,Sri Lankan
u43,prefers,Western
u44,prefers,Mixed
u45,prefers,Mixed
u46,prefers,Mixed
u47,prefers,Sri Lankan
u48,prefers,Western
u49,prefers,Western
u50,prefers,Sri Lankan
u51,prefers,Western
u52,prefers,Sri Lankan
u53,prefers,Sri Lankan
u54,prefers,Western
u55,prefers,Sri Lankan
u56,prefers,Sri Lankan
u57,prefers,Sri Lankan
u58,prefers,Mixed
u59,prefers,Western
u60,prefers,Western
u61,prefers,Mixed
u62,prefers,Mixed
u63,prefers,Mixed
u64,prefers,Mixed
u65,prefers,Sri Lankan
u66,prefers,Western
u67,prefers,Sri Lankan
u68,prefers,Western
u69,prefers,Western
u70,prefers,Sri Lankan
u71,prefers,Sri Lankan
u72,prefers,Sri Lankan
u73,prefers,Western
u74,prefers,Sri Lankan
u75,prefers,Western
u76,prefers,Western
u77,prefers,Western
u78,prefers,Western
u79,prefers,Western
u80,prefers,Sri Lankan
u81,prefers,Mixed
u82,prefers,Sri Lankan
u83,prefers,Western
u84,prefers,Western
u85,prefers,Sri Lankan
u86,prefers,Western
u87,prefers,Western
u88,prefers,Western
u89,prefers,Sri Lankan
u90,prefers,Mixed
u91,prefers,Sri Lankan
u92,prefers,Sri Lankan
u93,prefers,Western
u94,prefers,Western
u95,prefers,Mixed
