food_id,food_item,calories,carbs,protein,fat,glycemic_index,meal_type,culture,estimated_weight_g
f1038,Bread with beef and carrot,906.5487572,91.4,60.8,30,67,Breakfast,Sri Lankan,697
f1039,Millet with mung beans and beans,620.2198853,69.4,12.4,32.3,54,Snack,Sri Lankan,477
f1040,Bread with chicken and cabbage,1360.42065,30.8,63,109.8,60,Breakfast,Sri Lankan,1046
f1041,Millet with egg and carrot,1358.986616,33.7,25.4,125.8,49,Breakfast,Sri Lankan,1045
f1042,Millet with fish and onion,985.6596558,92,79,30,52,Breakfast,Sri Lankan,758
f1043,Millet with tofu and onion,1925.43021,162,37.6,122.4,56,Dinner,Sri Lankan,1481
f1044,Rice with beef and beans,758.6042065,71.5,55.7,26.2,57,Breakfast,Sri Lankan,584
f1045,Rice with beef and onion,1304.015296,23.7,31.5,121.2,55,Lunch,Sri Lankan,1003
f1046,Kurakkan with mung beans and beans,425.6692161,44.3,40.5,9,53,Breakfast,Sri Lankan,327
f1047,Rice with fish and onion,651.290631,32.4,76.3,22.3,50,Snack,Sri Lankan,501
f1048,Bread with fish and cucumber,1243.785851,21.8,57.7,103,56,Lunch,Sri Lankan,957
f1049,Bread with tofu and carrot,894.3594646,97.8,35.7,37.3,56,Breakfast,Sri Lankan,688
f1050,Millet with mung beans and onion,1032.265774,162,49.1,17.1,68,Breakfast,Sri Lankan,794
f1051,Kurakkan with mung beans and beans,896.749522,10.3,15.2,89.9,61,Snack,Sri Lankan,690
f1052,Millet with fish and cucumber,917.0650096,113,43.8,28.8,66,Dinner,Sri Lankan,705
f1053,Millet with fish and onion,973.4703633,128.8,43.5,27.6,54,Breakfast,Sri Lankan,749
f1054,Kurakkan with mung beans and cabbage,622.8489484,22.3,15.4,52.3,48,Dinner,Sri Lankan,479
f1055,Wheat with lentils and carrot,1949.56979,166.9,22.9,132.3,60,Breakfast,Sri Lankan,1500
f1056,Kurakkan with egg and tomato,1237.09369,56.5,23.2,102.6,61,Snack,Sri Lankan,952
f1057,Kurakkan with fish and cabbage,1356.357553,50.6,18.2,121.5,64,Lunch,Sri Lankan,1043
f1058,Wheat with egg and tomato,1931.644359,157.8,25.4,131.9,47,Dinner,Sri Lankan,1486
f1059,Wheat with tofu and cucumber,1456.500956,42.8,41.8,116.6,47,Breakfast,Sri Lankan,1120
f1060,Millet with egg and tomato,701.4818356,48.1,47.2,34.2,65,Lunch,Sri Lankan,540
f1061,Bread with beef and tomato,1365.200765,76,35.3,101,47,Lunch,Sri Lankan,1050
f1062,Kurakkan with fish and cucumber,740.4397706,50.7,68.3,28.4,58,Dinner,Sri Lankan,570
f1063,Millet with tofu and carrot,1183.795411,35.1,13.9,109.9,67,Breakfast,Sri Lankan,911
f1064,Bread with chicken and tomato,1167.06501,142.2,39.7,46.2,70,Breakfast,Sri Lankan,898
f1065,Millet with fish and onion,1414.913958,54.7,39,115.9,60,Breakfast,Sri Lankan,1088
f1066,Bread with fish and carrot,1714.627151,105.9,37.6,127.6,64,Lunch,Sri Lankan,1319
f1067,Kurakkan with lentils and cabbage,1638.862333,79.3,14,142,62,Lunch,Sri Lankan,1261
f1068,Kurakkan with mung beans and carrot,1053.537285,17.7,5.1,107.4,47,Snack,Sri Lankan,810
f1069,Rice with tofu and tomato,924.2351816,145.7,23.7,23.3,52,Breakfast,Sri Lankan,711
f1070,Bread with chicken and cucumber,698.374761,24.2,76.5,31.9,67,Breakfast,Sri Lankan,537
f1071,Kurakkan with mung beans and cucumber,1198.852772,1.5,28.8,120.8,58,Lunch,Sri Lankan,922
f1072,Kurakkan with fish and cabbage,1031.787763,7.6,28.1,99.3,53,Dinner,Sri Lankan,794
f1073,Bread with fish and beans,859.7036329,75.8,48.2,40,52,Snack,Sri Lankan,661
f1074,Bread with tofu and cabbage,797.8011472,63,36.4,43.1,47,Lunch,Sri Lankan,614
f1075,Rice with beef and onion,1513.145315,89.3,34.4,112,54,Snack,Sri Lankan,1164
f1076,Bread with egg and cucumber,911.3288719,130.3,18.7,30.9,64,Lunch,Sri Lankan,701
f1077,Millet with fish and tomato,1087.954111,104.3,61.8,44.4,49,Lunch,Sri Lankan,837
f1078,Bread with chicken and tomato,941.6826004,99.6,55.4,33.4,61,Lunch,Sri Lankan,724
f1079,Bread with beef and beans,1540.869981,30.7,63.4,129.8,59,Snack,Sri Lankan,1185
f1080,Bread with beef and carrot,1115.678776,156.1,25.7,42.3,56,Dinner,Sri Lankan,858
f1081,Kurakkan with beef and cabbage,864.4837476,17.5,46.6,67.5,62,Dinner,Sri Lankan,665
f1082,Kurakkan with beef and onion,865.2007648,40.6,74.8,44.7,47,Dinner,Sri Lankan,666
f1083,Wheat with fish and carrot,1479.923518,101.6,26.7,105.4,52,Snack,Sri Lankan,1138
f1084,Rice with lentils and onion,941.2045889,92.3,62.4,33.5,45,Lunch,Sri Lankan,724
f1085,Bread with chicken and onion,845.3632887,70.3,61.5,33,63,Breakfast,Sri Lankan,650
f1086,Rice with lentils and carrot,1568.355641,103.1,16.4,119.7,59,Lunch,Sri Lankan,1206
f1087,Wheat with lentils and onion,1833.652008,124.9,55.8,118.4,45,Breakfast,Sri Lankan,1411
f1088,Rice with mung beans and carrot,684.9904398,73.2,9.5,37.7,54,Breakfast,Sri Lankan,527
f1089,Millet with lentils and cucumber,826.959847,131.5,22.6,18.9,58,Breakfast,Sri Lankan,636
f1090,Wheat with mung beans and onion,1065.487572,153.9,22,38.8,46,Breakfast,Sri Lankan,820
f1091,Bread with beef and cucumber,808.7954111,111.5,35.4,24.2,66,Snack,Sri Lankan,622
f1092,Kurakkan with mung beans and beans,440.0095602,33.1,31,19.7,63,Snack,Sri Lankan,338
f1093,Wheat with chicken and onion,1094.646272,125.1,71.5,33.4,53,Dinner,Sri Lankan,842
f1094,Wheat with mung beans and tomato,1536.328872,84.4,25.5,120.6,64,Dinner,Sri Lankan,1182
f1095,Kurakkan with tofu and onion,607.791587,60.9,39.2,21.7,63,Lunch,Sri Lankan,468
f1096,Millet with fish and carrot,1421.367113,194,41.2,51.6,64,Breakfast,Sri Lankan,1093
f1097,Kurakkan with tofu and carrot,793.7380497,6.3,67.2,52.2,47,Dinner,Sri Lankan,611
f1098,Kurakkan with tofu and carrot,991.873805,63.4,40.5,61.4,53,Snack,Sri Lankan,763
f1099,Kurakkan with lentils and carrot,678.7762906,84.5,12.3,31.3,51,Lunch,Sri Lankan,522
f1100,Bread with beef and cabbage,1325.286807,75.3,31,99.5,50,Lunch,Sri Lankan,1019
f1101,Rice with fish and tomato,533.2217973,51.9,50.2,12.8,64,Snack,Sri Lankan,410
f1102,Bread with mung beans and carrot,1221.797323,86.7,25.6,84.2,56,Lunch,Sri Lankan,940
f1103,Bread with egg and carrot,885.5162524,124.5,29.3,26.8,58,Lunch,Sri Lankan,681
f1104,Millet with fish and carrot,1010.755258,97.1,64.5,39.5,63,Lunch,Sri Lankan,778
f1105,Rice with fish and beans,462.9541109,38.3,24,23.5,61,Breakfast,Sri Lankan,356
f1106,Rice with mung beans and onion,414.9139579,19.7,46.3,15.9,63,Snack,Sri Lankan,319
f1107,Wheat with beef and cabbage,980.1625239,127.6,61.2,20.4,55,Breakfast,Sri Lankan,754
f1108,Bread with fish and onion,1370.458891,56.3,43.8,107.6,60,Lunch,Sri Lankan,1054
f1109,Kurakkan with fish and cabbage,1015.774379,7.3,33.2,95.6,68,Snack,Sri Lankan,781
f1110,Kurakkan with fish and carrot,539.4359465,48.7,34,21.4,56,Snack,Sri Lankan,415
f1111,Rice with lentils and beans,1652.724665,104.5,27.4,123.7,69,Snack,Sri Lankan,1271
f1112,Wheat with lentils and carrot,998.8049713,100.4,25.9,52.3,59,Lunch,Sri Lankan,768
f1113,Kurakkan with beef and carrot,520.5544933,6.3,61.2,27.6,47,Dinner,Sri Lankan,400
f1114,Wheat with chicken and cabbage,586.998088,73.8,27.9,18.2,54,Breakfast,Sri Lankan,452
f1115,Wheat with lentils and onion,911.0898662,97.6,51.9,32.2,62,Dinner,Sri Lankan,701
f1116,Wheat with fish and cabbage,1091.300191,134.6,48.3,38.6,48,Dinner,Sri Lankan,839
f1117,Wheat with tofu and cucumber,1372.370937,39,51.9,108.2,53,Breakfast,Sri Lankan,1056
f1118,Kurakkan with mung beans and onion,332.456979,36.1,14.6,13.7,68,Lunch,Sri Lankan,256
f1119,Millet with beef and onion,1400.81262,57.1,59,104.3,57,Snack,Sri Lankan,1078
f1120,Kurakkan with fish and cucumber,542.3040153,29.2,50.9,23.1,65,Breakfast,Sri Lankan,417
f1121,Bread with lentils and onion,955.5449331,100.5,22.6,49,65,Breakfast,Sri Lankan,735
f1122,Wheat with chicken and tomato,1720.124283,82.8,46,127.2,58,Breakfast,Sri Lankan,1323
f1123,Rice with chicken and beans,1305.688337,96.6,41,83.1,46,Snack,Sri Lankan,1004
f1124,Wheat with beef and cucumber,693.5946463,82.1,53.6,13.5,52,Lunch,Sri Lankan,534
f1125,Kurakkan with egg and cucumber,619.2638623,44.3,38.9,31.1,46,Breakfast,Sri Lankan,476
f1126,Kurakkan with egg and cucumber,523.6615679,15.9,45.3,30,50,Snack,Sri Lankan,403
f1127,Kurakkan with chicken and beans,1334.608031,68.7,18.8,107.8,70,Lunch,Sri Lankan,1027
f1128,Millet with mung beans and cabbage,789.6749522,121.2,24.4,19.2,58,Snack,Sri Lankan,607
f1129,Rice with fish and cucumber,1499.760994,112.7,47.9,94.9,66,Breakfast,Sri Lankan,1154
f1130,Bread with egg and cucumber,776.0516252,60.3,40.2,38.7,56,Breakfast,Sri Lankan,597
f1131,Kurakkan with egg and onion,636.4722753,44.6,56.3,24.5,63,Snack,Sri Lankan,490
f1132,Millet with fish and beans,846.0803059,58.2,57.5,41.8,56,Breakfast,Sri Lankan,651
f1133,Wheat with tofu and cucumber,828.6328872,95.7,39.2,27.7,50,Dinner,Sri Lankan,637
f1134,Rice with tofu and cabbage,978.9674952,95,51.4,42.2,54,Lunch,Sri Lankan,753
f1135,Wheat with fish and onion,1081.739962,95.6,66.4,45.4,62,Snack,Sri Lankan,832
f1136,Millet with fish and cucumber,1168.73805,173.2,32.7,35.4,61,Breakfast,Sri Lankan,899
f1137,Bread with fish and tomato,932.6003824,67.1,71.4,40.4,45,Lunch,Sri Lankan,717
f1138,Rice with mung beans and beans,1155.83174,124.2,10.1,69.5,52,Dinner,Sri Lankan,889
f1139,Kurakkan with fish and beans,456.2619503,14,40.2,26.4,47,Lunch,Sri Lankan,351
f1140,Rice with lentils and cucumber,927.1032505,149.3,24.7,24.2,53,Breakfast,Sri Lankan,713
f1141,Wheat with tofu and onion,1722.753346,93,41.8,131.5,50,Breakfast,Sri Lankan,1325
f1142,Kurakkan with beef and beans,1126.912046,139.1,24.4,51.9,51,Dinner,Sri Lankan,867
f1143,Bread with lentils and cabbage,1124.043977,133.4,39,45.8,53,Lunch,Sri Lankan,865
f1144,Wheat with fish and tomato,1281.070746,114.9,88.2,44.4,60,Dinner,Sri Lankan,985
f1145,Bread with chicken and onion,1756.214149,86.3,49.2,133.8,59,Snack,Sri Lankan,1351
f1146,Kurakkan with tofu and tomato,1099.665392,11.6,16.6,111.1,61,Lunch,Sri Lankan,846
f1147,Rice with mung beans and beans,807.1223709,59.3,39.2,42.3,45,Snack,Sri Lankan,621
f1148,Wheat with fish and onion,1746.414914,128.2,38.4,119.1,58,Snack,Sri Lankan,1343
f1149,Kurakkan with lentils and tomato,1139.818356,45.2,27.3,93.9,68,Breakfast,Sri Lankan,877
f1150,Kurakkan with chicken and carrot,1369.024857,84.6,33.2,100.6,57,Breakfast,Sri Lankan,1053
f1151,Millet with lentils and tomato,1032.982792,108.7,22.5,53.5,56,Dinner,Sri Lankan,795
f1152,Bread with fish and tomato,1408.221797,65.3,31.5,110.6,65,Breakfast,Sri Lankan,1083
f1153,Bread with fish and cucumber,582.456979,26.1,55.6,27.9,45,Breakfast,Sri Lankan,448
f1154,Kurakkan with beef and onion,1464.388145,23.4,69,122.4,64,Dinner,Sri Lankan,1126
f1155,Rice with egg and beans,1517.686424,87.7,25.2,118.2,56,Snack,Sri Lankan,1167
f1156,Millet with egg and tomato,959.6080306,120.6,59.8,24,70,Snack,Sri Lankan,738
f1157,Millet with mung beans and beans,423.9961759,32.3,24.7,20.8,67,Snack,Sri Lankan,326
f1158,Wheat with chicken and tomato,1905.83174,138.7,28.9,135,58,Breakfast,Sri Lankan,1466
f1159,Bread with beef and cucumber,1638.145315,98.4,39.9,120.6,55,Lunch,Sri Lankan,1260
f1160,Kurakkan with chicken and carrot,712.7151052,53.5,35.2,39,61,Snack,Sri Lankan,548
f1161,Kurakkan with egg and beans,565.4875717,45.9,49.2,20,45,Snack,Sri Lankan,435
f1162,Rice with mung beans and cucumber,656.5487572,87.4,24.6,21.8,53,Lunch,Sri Lankan,505
f1163,Millet with tofu and beans,729.4455067,81.6,41.1,23.4,62,Lunch,Sri Lankan,561
f1164,Kurakkan with fish and beans,669.6940727,72.7,39,22.2,67,Dinner,Sri Lankan,515
f1165,Bread with tofu and cucumber,1457.456979,35.5,41.6,127.9,48,Dinner,Sri Lankan,1121
f1166,Kurakkan with fish and cucumber,1114.722753,21.2,18.5,106.7,53,Dinner,Sri Lankan,857
f1167,Millet with mung beans and carrot,592.2562141,75.5,13.8,23.3,52,Snack,Sri Lankan,456
f1168,Bread with beef and onion,969.16826,82.7,54.4,45.3,53,Snack,Sri Lankan,746
f1169,Bread with chicken and cucumber,1572.89675,55,40.2,131.9,69,Lunch,Sri Lankan,1210
f1170,Wheat with tofu and cabbage,831.2619503,82.4,23.6,40.4,49,Breakfast,Sri Lankan,639
f1171,Bread with lentils and cucumber,1032.743786,86.3,39.5,54.5,65,Breakfast,Sri Lankan,794
f1172,Bread with fish and onion,1125.478011,65.8,87.3,56.1,52,Snack,Sri Lankan,866
f1173,Kurakkan with chicken and tomato,1105.40153,28.2,29.9,97.6,54,Dinner,Sri Lankan,850
f1174,Millet with lentils and cucumber,823.6137667,93.5,58.2,20.6,63,Dinner,Sri Lankan,634
f1175,Rice with mung beans and cabbage,760.7552581,112.7,23.4,21.1,65,Lunch,Sri Lankan,585
f1176,Bread with lentils and tomato,1099.18738,118.5,64.8,38.1,52,Snack,Sri Lankan,846
f1177,Rice with beef and tomato,873.3269598,76.8,44.9,41.4,45,Dinner,Sri Lankan,672
f1178,Wheat with beef and onion,934.9904398,50,51.3,58.8,57,Breakfast,Sri Lankan,719
f1179,Wheat with fish and cabbage,1295.650096,100.3,25,87,61,Lunch,Sri Lankan,997
f1180,Bread with mung beans and tomato,1258.604207,176.9,25.9,48.7,59,Lunch,Sri Lankan,968
f1181,Kurakkan with egg and beans,475.1434034,49.7,39,12.7,47,Breakfast,Sri Lankan,365
f1182,Rice with chicken and cabbage,904.3977055,129.5,24.5,29,54,Lunch,Sri Lankan,696
f1183,Kurakkan with chicken and tomato,549.9521989,36,53.3,20.1,54,Dinner,Sri Lankan,423
f1184,Wheat with lentils and beans,799.7131931,117.6,28.5,20.4,64,Breakfast,Sri Lankan,615
f1185,Rice with egg and cabbage,1303.537285,168.9,33.3,53.7,60,Breakfast,Sri Lankan,1003
f1186,Wheat with beef and cucumber,1190.726577,43.5,41.8,94.2,66,Snack,Sri Lankan,916
f1187,Millet with egg and onion,1000.478011,87.9,68.2,38.6,53,Snack,Sri Lankan,770
f1188,Millet with lentils and cabbage,1249.282983,180.2,25.8,43.5,61,Breakfast,Sri Lankan,961
f1189,Rice with fish and cabbage,2114.005736,98,11.4,186.2,54,Dinner,Sri Lankan,1626
f1190,Wheat with chicken and beans,805.9273423,98,41.7,25.9,54,Snack,Sri Lankan,620
f1191,Wheat with beef and cucumber,1478.489484,71.5,36.5,116.9,52,Dinner,Sri Lankan,1137
f1192,Kurakkan with lentils and cabbage,598.709369,64.3,38.3,19,53,Lunch,Sri Lankan,461
f1193,Kurakkan with egg and onion,795.6500956,48.3,37,48.6,51,Dinner,Sri Lankan,612
f1194,Rice with mung beans and cucumber,809.751434,63.4,44.5,40.8,56,Snack,Sri Lankan,623
f1195,Bread with mung beans and beans,1466.300191,68.1,27.5,120.6,47,Lunch,Sri Lankan,1128
f1196,Bread with fish and carrot,1565.965583,105.4,37.7,108.5,66,Breakfast,Sri Lankan,1205
f1197,Millet with egg and onion,1080.783939,79.3,46.4,62.2,67,Lunch,Sri Lankan,831
f1198,Wheat with beef and cucumber,1176.147228,157.1,42.1,41.1,49,Breakfast,Sri Lankan,905
f1199,Millet with beef and cucumber,700.2868069,69.9,54.5,20.9,60,Snack,Sri Lankan,539
f1200,Wheat with beef and carrot,1552.820268,116.5,61.8,91,61,Dinner,Sri Lankan,1194
f1201,Bread with egg and carrot,706.2619503,25.2,45.9,45.4,53,Lunch,Sri Lankan,543
f1202,Kurakkan with egg and cucumber,626.1950287,75.8,22.7,24.7,63,Dinner,Sri Lankan,482
f1203,Bread with egg and carrot,842.4952199,44.1,53.3,48.8,53,Breakfast,Sri Lankan,648
f1204,Bread with mung beans and carrot,1166.826004,42.5,33,93.7,58,Snack,Sri Lankan,898
f1205,Rice with beef and carrot,896.9885277,26.6,54.5,62.5,51,Snack,Sri Lankan,690
f1206,Kurakkan with chicken and cucumber,601.8164436,44.3,66.4,16.5,68,Dinner,Sri Lankan,463
f1207,Kurakkan with fish and carrot,1149.378585,24.5,30.6,104.2,61,Breakfast,Sri Lankan,884
f1208,Rice with chicken and onion,1772.705545,134.4,45.3,116.6,48,Snack,Sri Lankan,1364
f1209,Bread with beef and cabbage,835.3250478,84.2,49.4,31.3,45,Dinner,Sri Lankan,643
f1210,Kurakkan with beef and cabbage,1261.472275,4.8,42.3,120.3,67,Dinner,Sri Lankan,970
f1211,Millet with fish and cabbage,397.7055449,44.7,24,11.5,64,Dinner,Sri Lankan,306
f1212,Millet with chicken and carrot,886.2332696,72.3,70.7,31.6,60,Dinner,Sri Lankan,682
f1213,Wheat with fish and cabbage,943.1166348,128.8,44.1,26.4,54,Lunch,Sri Lankan,725
f1214,Rice with tofu and beans,1145.793499,44.9,37.5,90.3,61,Lunch,Sri Lankan,881
f1215,Millet with fish and carrot,560.9464627,87,11.8,16,47,Breakfast,Sri Lankan,431
f1216,Bread with chicken and cabbage,821.4627151,103.9,27.5,30.4,65,Snack,Sri Lankan,632
f1217,Millet with mung beans and tomato,609.9426386,108,17.5,8.2,70,Breakfast,Sri Lankan,469
f1218,Rice with tofu and cucumber,1523.183556,84.7,21.7,124.5,66,Breakfast,Sri Lankan,1172
f1219,Wheat with beef and cucumber,995.6978967,61.4,73,48.1,65,Snack,Sri Lankan,766
f1220,Bread with lentils and beans,1393.881453,92.2,17.1,106.6,56,Dinner,Sri Lankan,1072
f1221,Millet with lentils and tomato,619.2638623,62.5,31.2,25.3,52,Dinner,Sri Lankan,476
f1222,Wheat with mung beans and tomato,962.2370937,125.6,20.2,41.2,65,Dinner,Sri Lankan,740
f1223,Wheat with egg and cucumber,1569.072658,104.6,30.7,113.3,59,Snack,Sri Lankan,1207
f1224,Bread with mung beans and onion,698.1357553,52.5,59.6,26.5,53,Breakfast,Sri Lankan,537
f1225,Bread with beef and beans,721.7973231,104.6,32.9,15.6,70,Breakfast,Sri Lankan,555
f1226,Wheat with lentils and beans,902.0076482,138.1,29.8,21.1,65,Breakfast,Sri Lankan,694
f1227,Wheat with mung beans and cucumber,671.1281071,79.3,45.3,17.4,63,Lunch,Sri Lankan,516
f1228,Rice with beef and carrot,1592.49522,32.2,55.5,138.4,48,Breakfast,Sri Lankan,1225
f1229,Millet with lentils and carrot,1227.533461,56.2,11.4,105.8,66,Lunch,Sri Lankan,944
f1230,Wheat with chicken and carrot,996.1759082,111.3,40.5,40.2,48,Dinner,Sri Lankan,766
f1231,Rice with mung beans and onion,1111.854685,137.9,28,46.8,48,Lunch,Sri Lankan,855
f1232,Rice with egg and tomato,1266.25239,57.8,29.3,102.6,59,Snack,Sri Lankan,974
f1233,Kurakkan with egg and onion,717.9732314,20.8,51.6,46.7,70,Dinner,Sri Lankan,552
f1234,Kurakkan with egg and onion,1114.244742,64.4,17.1,87.4,68,Lunch,Sri Lankan,857
f1235,Kurakkan with beef and carrot,671.3671128,74.2,31.3,27,47,Lunch,Sri Lankan,516
f1236,Kurakkan with beef and carrot,1159.894837,47.2,28.5,94.1,54,Dinner,Sri Lankan,892
f1237,Wheat with fish and cucumber,1611.854685,152.8,8.5,107.4,55,Lunch,Sri Lankan,1240
f1238,Bread with chicken and cucumber,999.2829828,98.3,64.1,37,56,Snack,Sri Lankan,769
f1239,Bread with egg and cabbage,850.3824092,129.3,29.4,22.5,66,Snack,Sri Lankan,654
f1240,Bread with lentils and cucumber,1037.523901,114.2,33.8,47.5,45,Snack,Sri Lankan,798
f1241,Wheat with mung beans and tomato,1215.344168,183.4,21,40.9,56,Lunch,Sri Lankan,935
f1242,Millet with beef and beans,1252.390057,78.4,49.4,81.1,68,Dinner,Sri Lankan,963
f1243,Bread with chicken and carrot,839.6271511,123.1,32,19.9,61,Lunch,Sri Lankan,646
f1244,Rice with mung beans and carrot,1304.493308,92,19.9,93.8,56,Breakfast,Sri Lankan,1003
f1245,Wheat with tofu and beans,1909.17782,96.9,39.9,147.5,63,Snack,Sri Lankan,1469
f1246,Wheat with lentils and cabbage,1190.248566,131.1,52.2,48.2,66,Dinner,Sri Lankan,916
f1247,Kurakkan with mung beans and beans,846.3193117,22,6.8,81.7,62,Dinner,Sri Lankan,651
f1248,Rice with chicken and cucumber,1527.007648,90.7,34.8,114.2,68,Breakfast,Sri Lankan,1175
f1249,Millet with fish and carrot,1023.422562,111.5,38.3,46.5,47,Dinner,Sri Lankan,787
f1250,Rice with egg and cabbage,830.0669216,75.8,56.2,32.1,52,Dinner,Sri Lankan,639
f1251,Kurakkan with tofu and tomato,1051.625239,21.2,10,104.4,48,Lunch,Sri Lankan,809
f1252,Millet with fish and cucumber,967.0172084,70.1,45.8,53.1,54,Breakfast,Sri Lankan,744
f1253,Rice with tofu and tomato,1323.613767,78.5,20.3,102.9,52,Snack,Sri Lankan,1018
f1254,Millet with egg and cucumber,723.709369,56,50.5,32.1,49,Dinner,Sri Lankan,557
f1255,Bread with beef and cabbage,849.665392,65.7,75.3,28.7,68,Lunch,Sri Lankan,654
f1256,Rice with beef and cucumber,778.6806883,101.3,19.2,31.2,60,Snack,Sri Lankan,599
f1257,Bread with tofu and onion,900.0956023,100.1,36.4,36.4,49,Lunch,Sri Lankan,692
f1258,Bread with mung beans and beans,451.959847,31.7,30.6,20.8,45,Snack,Sri Lankan,348
f1259,Bread with tofu and tomato,1535.372849,113.6,43.2,99.8,51,Lunch,Sri Lankan,1181
f1260,Wheat with fish and cabbage,964.6271511,134,31.3,30.7,52,Lunch,Sri Lankan,742
f1261,Bread with mung beans and carrot,689.7705545,61.9,34.8,32.1,53,Snack,Sri Lankan,531
f1262,Wheat with chicken and tomato,1803.059273,126.6,33.4,128.5,58,Breakfast,Sri Lankan,1387
f1263,Rice with chicken and carrot,1798.75717,115.5,43.8,128.2,58,Breakfast,Sri Lankan,1384
f1264,Rice with mung beans and onion,1172.08413,64.3,20.8,92.4,60,Lunch,Sri Lankan,902
f1265,Rice with tofu and beans,1314.770554,88.8,86.3,64.5,67,Lunch,Sri Lankan,1011
f1266,Bread with chicken and onion,843.4512428,81.8,44.9,33.2,66,Snack,Sri Lankan,649
f1267,Kurakkan with beef and tomato,471.5583174,7.1,65.9,19.4,63,Lunch,Sri Lankan,363
f1268,Rice with tofu and carrot,1566.921606,111.6,26.7,112.2,47,Lunch,Sri Lankan,1205
f1269,Bread with beef and onion,1551.386233,122.1,24.8,106.4,70,Dinner,Sri Lankan,1193
f1270,Millet with lentils and onion,1154.875717,130.8,27.8,55.9,70,Lunch,Sri Lankan,888
